"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"GNAS"	0.213519548090397	0.0019958458810976	-3.13163237864054	-1.82832281937422	-0.0561501243229072	"GNAS"	"GNAS"
"UBE2W"	0.217177954906007	0.00206304315406679	3.12141938590753	-1.85827711241801	0.0505743012074198	"UBE2W"	"UBE2W"
"EPHA1"	0.217177954906007	0.0020704811553762	3.12030788847873	-1.86153174003566	0.0500133428954621	"EPHA1"	"EPHA1"
"FAM173A"	0.217177954906007	0.00213108186081022	-3.111387072024	-1.88761514232619	-0.0790373362140319	"FAM173A"	"FAM173A"
"CHST2"	0.217177954906007	0.00213703321005995	-3.11052367559848	-1.89013601687752	-0.0585066494261032	"CHST2"	"CHST2"
"GPR21"	0.217177954906007	0.0021558339262857	-3.1078106634757	-1.89805311961239	-0.0577467662700603	"GPR21"	"GPR21"
"NFE2L3"	0.217177954906007	0.00218207803397001	-3.1040598582426	-1.90898838702371	-0.02943327596722	"NFE2L3"	"NFE2L3"
"ZBTB11"	0.217177954906007	0.00219926463339433	3.10162605989377	-1.91607758427021	0.0675669729864429	"ZBTB11"	"ZBTB11"
"GRM2"	0.217177954906007	0.00220081864163178	-3.10140686301506	-1.91671581594388	-0.0727942722762836	"GRM2"	"GRM2"
"GRM1"	0.217177954906007	0.00220981688992631	3.10014043928377	-1.92040243821354	0.0257625314507857	"GRM1"	"GRM1"
"GIT1"	0.217177954906007	0.00222692386256272	3.09774585899903	-1.92736944599623	0.0627729968023023	"GIT1"	"GIT1"
"MRPL24"	0.217177954906007	0.0022754051294145	-3.09105071311787	-1.94682297653122	-0.0866062124779745	"MRPL24"	"MRPL24"
"ANAPC13"	0.217177954906007	0.00229349656529904	-3.08858602007698	-1.95397480793168	-0.0485313720353118	"ANAPC13"	"ANAPC13"
"HIST1H2BH"	0.217177954906007	0.00231858632450408	-3.08519743563824	-1.96379904936269	-0.070403025219044	"HIST1H2BH"	"HIST1H2BH"
"THNSL2"	0.217177954906007	0.00233401718367041	-3.08313013120742	-1.96978780279755	-0.055609926981857	"THNSL2"	"THNSL2"
"TMEM186"	0.217177954906007	0.0023947857103288	-3.07510957074186	-1.99298796040315	-0.0503117000559552	"TMEM186"	"TMEM186"
"BAP1"	0.217177954906007	0.00239746560794469	3.07476020172185	-1.99399729207795	0.0445227406267359	"BAP1"	"BAP1"
"NCBP2"	0.217177954906007	0.00240546551326296	-3.07371941960676	-1.99700350751359	-0.0555043320948965	"NCBP2"	"NCBP2"
"CFI"	0.217177954906007	0.00240724555377418	-3.07348827175233	-1.99767103397078	-0.0433915117072423	"CFI"	"CFI"
"GGA1"	0.217177954906007	0.00244135132951416	3.06908962193822	-2.01036509473347	0.0371129705441779	"GGA1"	"GGA1"
"APOM"	0.217177954906007	0.00244149119480811	-3.06907170033527	-2.01041678087014	-0.0458034803665985	"APOM"	"APOM"
"HNF4A"	0.217177954906007	0.00247583502083318	-3.06469945722952	-2.02301818660083	-0.0302403969506723	"HNF4A"	"HNF4A"
"PTPRE"	0.217177954906007	0.00247699956289574	-3.06455218390293	-2.02344236417704	-0.0713564582676555	"PTPRE"	"PTPRE"
"STAG2"	0.217177954906007	0.00249376132388458	3.06243945484667	-2.0295254193331	0.0547727308246568	"STAG2"	"STAG2"
"PSMD5"	0.217177954906007	0.00251878526085243	-3.05930955166101	-2.03853014972321	-0.050812746753634	"PSMD5"	"PSMD5"
"USP6"	0.217177954906007	0.00252046403205394	3.05910060415522	-2.03913099337795	0.0410423779727036	"USP6"	"USP6"
"TXN"	0.217177954906007	0.00252583624668949	-3.05843281464109	-2.04105102006533	-0.0840076066133388	"TXN"	"TXN"
"ASB9"	0.217177954906007	0.00253485989793735	-3.05731407559583	-2.0442667610839	-0.0357082273997691	"ASB9"	"ASB9"
"NSF"	0.217177954906007	0.00254212511426821	-3.05641600817214	-2.0468474216777	-0.0593706382814001	"NSF"	"NSF"
"PAPOLB"	0.217959337750759	0.00258123060628352	-3.05162234642607	-2.06061067982511	-0.0271830200666467	"PAPOLB"	"PAPOLB"
"SATB2"	0.217959337750759	0.00260020300754849	-3.04932071122576	-2.06721200258568	-0.079816169770061	"SATB2"	"SATB2"
"BFAR"	0.217959337750759	0.00260633481773539	3.04858013817958	-2.06933507697074	0.0523254281589819	"BFAR"	"BFAR"
"PRKCA"	0.218858111678876	0.00263551241853299	-3.04507803332629	-2.07936854980034	-0.031121295544644	"PRKCA"	"PRKCA"
"OPN3"	0.221593470113846	0.00272286767522131	-3.03480246122214	-2.10874727468148	-0.0838199677545808	"OPN3"	"OPN3"
"CDC40"	0.221593470113846	0.00273346648139224	3.03357644006722	-2.11224653154721	0.0472439835407845	"CDC40"	"CDC40"
"SMARCD3"	0.221593470113846	0.00275751935469195	3.0308102654539	-2.1201368954513	0.0647885120914093	"SMARCD3"	"SMARCD3"
"ATP9A"	0.221593470113846	0.00277320631371046	-3.02901814205694	-2.12524532917959	-0.072316659421233	"ATP9A"	"ATP9A"
"HCG2P7"	0.221593470113846	0.00278470199860857	-3.02771075482994	-2.12897028895818	-0.0502168839085049	"HCG2P7"	"HCG2P7"
"MAP1B"	0.221593470113846	0.00278789425714728	-3.02734858497441	-2.13000191078022	-0.0735984853565532	"MAP1B"	"MAP1B"
"MYLK3"	0.221593470113846	0.0027997149365968	3.0260108127942	-2.1338115094523	0.0250185924982615	"MYLK3"	"MYLK3"
"SLC30A10"	0.221593470113846	0.00281773591471079	-3.02398130563158	-2.13958804393022	-0.0454000942436068	"SLC30A10"	"SLC30A10"
"MSRB2"	0.223892698596707	0.00286582654203785	3.01862326198897	-2.15482152722593	0.0497037895213593	"MSRB2"	"MSRB2"
"SIK1"	0.226592589147861	0.00292557895529573	-3.01207994298115	-2.17339145392433	-0.103970454377397	"SIK1"	"SIK1"
"CCDC134"	0.226592589147861	0.0029465166765273	3.00981615937377	-2.17980750773191	0.0563055751485502	"CCDC134"	"CCDC134"
"CASD1"	0.226592589147861	0.00295762958466682	-3.00862063394928	-2.18319411001354	-0.0714603929978493	"CASD1"	"CASD1"
"STXBP1"	0.229419345525486	0.00301785412929642	-3.00221262895331	-2.20132533539724	-0.05921733613234	"STXBP1"	"STXBP1"
"GAD1"	0.229419345525486	0.00303316524189485	-3.00060224202533	-2.20587632007893	-0.0535857821154725	"GAD1"	"GAD1"
"TSPYL4"	0.229630943662201	0.00305530013462129	-2.99828730128283	-2.2124144816106	-0.0659513155196505	"TSPYL4"	"TSPYL4"
"TNIP3"	0.242189052707973	0.00324278394783729	-2.97927498655116	-2.26593716278417	-0.0259711771764131	"TNIP3"	"TNIP3"
"METTL9"	0.244609300260737	0.00329578846667098	2.97408294780574	-2.2804994777701	0.0515056264443514	"METTL9"	"METTL9"
"C8orf4"	0.245396214673672	0.00334081652504595	-2.96973208972726	-2.29268461196697	-0.0378224355590442	"C8orf4"	"C8orf4"
"ZBBX"	0.245396214673672	0.0033501028364769	-2.96884149203192	-2.29517683286271	-0.0513120663972978	"ZBBX"	"ZBBX"
"VIL1"	0.245396214673672	0.0033683859361523	-2.96709466224783	-2.30006312104976	-0.0479776572972596	"VIL1"	"VIL1"
"G3BP1"	0.245441120186056	0.00338967104930637	2.96507193336123	-2.30571787582774	0.0600840309390054	"G3BP1"	"G3BP1"
"LSR"	0.249109005825332	0.00346130408094146	-2.95834915887786	-2.32448675515133	-0.0543057315245083	"LSR"	"LSR"
"ISLR"	0.251363851913029	0.00351380205621582	2.95350274543417	-2.3379929536431	0.0460196051526377	"ISLR"	"ISLR"
"TBC1D30"	0.251585966719173	0.00353809317407173	2.95128270580701	-2.34417308695781	0.0358796593380939	"TBC1D30"	"TBC1D30"
"FAM179B"	0.253783687602978	0.0036590792134932	-2.94042927626606	-2.3743255270534	-0.0625252123659745	"FAM179B"	"FAM179B"
