gene_id,old_1,old_2,young_1,young_2
ENSG00000244509.4|APOBEC3C,47,26,11,29
ENSG00000203870.5|SMIM9,0,0,0,0
ENSG00000148826.9|NKX6-2,1017,775,1237,288
ENSG00000158092.7|NCK1,428,187,175,168
ENSG00000204982.3|PRSS3P4,6,1,8,1
ENSG00000286223.1|AC064836.4,26,16,9,17
ENSG00000112599.9|GUCA1B,63,93,51,97
ENSG00000200685.1|RF00019,2,1,2,3
ENSG00000225660.1|Z99497.1,2,0,2,5
ENSG00000243455.3|RPS18P13,0,0,0,0
ENSG00000236823.1|AL035691.1,0,20,0,0
ENSG00000275975.1|RF00017,0,1,4,0
ENSG00000272634.2|OR51F5P,0,0,4,8
ENSG00000239238.1|MEMO1P3,0,0,0,0
ENSG00000207101.1|RF00019,2,1,0,1
ENSG00000224960.4|PPP4R3C,1,0,4,0
ENSG00000211798.3|TRAV18,0,0,0,0
ENSG00000121377.2|TAS2R7,2,3,0,0
ENSG00000143578.16|CREB3L4,23,38,36,14
ENSG00000246774.1|ZCCHC23,22,10,0,15
ENSG00000232104.3|RFX3-AS1,49,48,55,28
ENSG00000141750.7|STAC2,2428,1328,920,689
ENSG00000236409.2|NRADDP,6,12,0,0
ENSG00000064313.12|TAF2,1013,488,520,450
ENSG00000241057.2|AC004951.3,29,20,12,9
ENSG00000228730.2|LINC02013,0,0,0,0
ENSG00000164111.15|ANXA5,719,437,364,383
ENSG00000213994.3|AL157395.1,4,0,6,3
ENSG00000255149.1|AP002963.1,0,0,1,0
ENSG00000287704.1|AC012405.1,0,0,5,0
ENSG00000224549.1|AC017067.1,0,0,3,0
ENSG00000235813.1|AL672032.1,0,0,0,0
ENSG00000232527.8|AC245595.1,92,64,55,51
ENSG00000282021.1|AC100810.3,7,8,9,6
ENSG00000236960.1|AL354695.1,0,0,0,0
ENSG00000232882.1|PHKA1P1,18,31,24,17
ENSG00000254717.2|GLYATL1P2,0,0,0,14
ENSG00000068796.16|KIF2A,2921,1775,1522,1399
